0	1e+10	1e+10	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	0	1e+10	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	0	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	0	566	496	543	614	475	616	399	366	640	677	639	412	566	622	663	684	567	503	646	0	0	0	0
1e+10	1e+10	1e+10	1e+10	670	0	503	409	201	298	588	565	322	551	433	291	344	551	389	321	520	639	207	380	0	0	0	0
1e+10	1e+10	1e+10	1e+10	419	538	0	566	216	271	534	649	693	300	577	574	562	473	486	307	297	462	688	314	0	0	0	0
1e+10	1e+10	1e+10	1e+10	555	682	300	0	594	599	289	342	343	596	486	375	331	642	573	264	361	355	626	700	0	0	0	0
1e+10	1e+10	1e+10	1e+10	634	240	466	644	0	374	542	509	619	459	643	622	405	419	272	690	596	204	508	580	0	0	0	0
1e+10	1e+10	1e+10	1e+10	665	398	319	424	388	0	377	234	337	281	518	203	373	678	255	664	392	575	561	490	0	0	0	0
1e+10	1e+10	1e+10	1e+10	452	223	259	559	420	413	0	659	453	201	554	692	312	413	461	453	542	378	327	659	0	0	0	0
1e+10	1e+10	1e+10	1e+10	442	476	272	586	238	637	668	0	298	297	501	629	252	690	496	417	413	326	212	476	0	0	0	0
1e+10	1e+10	1e+10	1e+10	664	458	473	453	345	691	432	675	0	302	265	570	518	342	303	496	643	271	531	673	0	0	0	0
1e+10	1e+10	1e+10	1e+10	477	481	447	303	409	609	473	418	513	0	584	283	520	614	412	326	312	288	387	385	0	0	0	0
1e+10	1e+10	1e+10	1e+10	361	689	566	226	389	534	255	522	673	305	0	481	625	299	401	236	567	270	543	476	0	0	0	0
1e+10	1e+10	1e+10	1e+10	381	323	222	629	668	587	535	371	653	332	604	0	396	330	681	678	479	273	545	448	0	0	0	0
1e+10	1e+10	1e+10	1e+10	626	241	630	561	313	357	451	568	535	368	404	418	0	362	577	200	506	588	543	515	0	0	0	0
1e+10	1e+10	1e+10	1e+10	218	459	215	504	351	688	398	260	230	446	452	302	370	0	346	559	391	562	570	470	0	0	0	0
1e+10	1e+10	1e+10	1e+10	408	514	302	595	560	514	632	260	456	371	403	600	460	544	0	356	404	649	660	375	0	0	0	0
1e+10	1e+10	1e+10	1e+10	275	418	663	625	528	455	207	661	599	463	678	686	574	273	620	0	468	440	694	627	0	0	0	0
1e+10	1e+10	1e+10	1e+10	296	377	560	428	593	454	496	531	676	561	286	675	685	512	676	501	0	339	677	621	0	0	0	0
1e+10	1e+10	1e+10	1e+10	318	465	547	268	684	386	445	466	317	363	428	650	248	455	348	247	411	0	429	283	0	0	0	0
1e+10	1e+10	1e+10	1e+10	305	552	363	314	615	358	255	457	354	387	316	670	237	273	281	700	352	479	0	567	0	0	0	0
1e+10	1e+10	1e+10	1e+10	663	298	653	445	570	275	653	418	584	528	244	620	225	202	331	601	215	587	325	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0	1e+10	1e+10	1e+10
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0	1e+10	1e+10
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0	1e+10
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0
