0	1e+10	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	0	302	486	670	326	389	564	213	644	633	0	0
1e+10	1e+10	593	0	503	601	427	568	576	464	605	283	0	0
1e+10	1e+10	254	370	0	620	658	223	444	219	288	407	0	0
1e+10	1e+10	441	500	210	0	388	407	453	290	672	216	0	0
1e+10	1e+10	493	674	499	499	0	454	495	293	271	698	0	0
1e+10	1e+10	347	294	607	298	547	0	371	579	229	429	0	0
1e+10	1e+10	623	411	271	619	584	282	0	376	231	617	0	0
1e+10	1e+10	651	338	437	204	536	693	252	0	528	684	0	0
1e+10	1e+10	394	226	391	589	624	230	578	262	0	308	0	0
1e+10	1e+10	682	335	607	378	671	337	359	495	268	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0	1e+10
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0
