0	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	0	577	566	648	623	459	504	633	677	455	262	492	308	281	291	526	317	630	217	623	0	0
1e+10	1e+10	618	0	498	628	275	631	386	266	547	662	606	511	698	379	534	613	404	393	392	511	0	0
1e+10	1e+10	272	322	0	376	467	418	627	409	504	360	602	503	656	363	583	309	524	395	612	219	0	0
1e+10	1e+10	682	686	692	0	411	695	656	634	518	235	472	250	400	642	601	664	238	248	691	381	0	0
1e+10	1e+10	216	433	417	321	0	486	450	210	492	455	563	566	517	437	401	674	259	461	438	541	0	0
1e+10	1e+10	238	385	266	596	494	0	456	362	500	481	297	431	622	579	693	413	252	578	427	449	0	0
1e+10	1e+10	240	642	283	318	402	441	0	516	543	436	353	532	561	386	204	294	573	379	300	288	0	0
1e+10	1e+10	596	463	392	624	568	395	492	0	641	277	509	524	482	576	608	227	570	558	415	651	0	0
1e+10	1e+10	341	238	616	212	537	591	680	681	0	633	277	242	657	693	690	474	568	673	392	423	0	0
1e+10	1e+10	592	593	502	304	358	398	201	543	241	0	658	674	641	346	408	384	545	620	613	551	0	0
1e+10	1e+10	365	607	405	492	408	477	270	583	367	222	0	203	341	423	620	370	677	678	560	488	0	0
1e+10	1e+10	245	560	549	659	539	278	457	313	257	258	267	0	214	585	653	379	429	666	377	201	0	0
1e+10	1e+10	336	619	383	700	542	349	217	239	611	443	383	565	0	205	401	249	246	512	615	306	0	0
1e+10	1e+10	474	453	566	416	231	519	213	321	219	491	501	311	299	0	660	573	452	395	448	607	0	0
1e+10	1e+10	384	462	605	486	644	529	241	497	648	229	250	385	693	451	0	600	669	481	260	406	0	0
1e+10	1e+10	316	695	675	609	557	623	409	575	582	419	531	529	577	365	360	0	598	534	459	467	0	0
1e+10	1e+10	384	416	545	422	402	572	253	684	431	695	292	417	633	464	220	263	0	673	487	559	0	0
1e+10	1e+10	459	329	566	545	361	244	323	342	536	247	293	664	210	465	560	472	457	0	658	678	0	0
1e+10	1e+10	680	399	458	278	429	455	684	649	468	315	500	680	534	302	322	224	361	532	0	461	0	0
1e+10	1e+10	574	294	507	649	552	234	454	397	292	607	263	501	633	474	243	558	584	422	346	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0	1e+10
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0
