0	1e+10	1e+10	1e+10	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	0	1e+10	1e+10	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	0	1e+10	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	1e+10	0	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	0	442	429	478	312	453	623	556	530	354	502	240	380	698	341	593	694	510	302	437	544	695	581	674	690	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	303	0	577	537	623	379	596	398	227	386	622	350	417	251	545	447	509	343	676	675	605	373	339	492	485	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	694	494	0	517	308	379	389	631	533	670	407	328	338	363	583	203	368	222	348	373	596	512	360	603	255	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	247	281	464	0	609	312	678	542	413	693	652	653	308	504	653	300	330	366	216	549	376	697	685	289	404	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	477	206	512	483	0	465	561	273	460	576	491	683	245	269	216	623	607	563	477	607	606	219	317	384	521	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	543	284	300	662	202	0	321	491	350	318	459	548	570	677	210	437	316	236	638	261	590	498	245	368	256	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	447	413	491	484	400	346	0	305	501	532	352	637	404	376	582	533	504	546	321	288	362	667	479	692	278	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	273	297	667	642	256	307	484	0	240	397	279	583	314	631	351	412	645	390	236	584	504	430	220	321	249	0	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	330	647	312	258	358	433	686	678	0	242	652	281	303	379	666	426	438	487	248	531	558	619	377	665	375	0	0	0	0	0
