0	1e+10	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	0	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+10	1e+10	1e+10	0	236	538	507	384	469	310	476	410	359	422	310	407	223	490	214	254	682	677	255	212	492	343	682	382	472	332	384	227	229	0	0	0
1e+10	1e+10	1e+10	540	0	503	375	356	570	428	211	419	599	434	353	694	619	263	655	340	280	319	650	401	267	328	467	302	337	505	378	294	659	0	0	0
1e+10	1e+10	1e+10	672	684	0	544	687	438	601	249	695	313	562	284	553	349	390	487	626	299	585	204	367	529	612	673	601	378	636	376	469	211	0	0	0
1e+10	1e+10	1e+10	656	397	252	0	310	592	534	231	206	505	517	650	271	516	389	583	645	229	629	379	298	205	651	521	407	483	442	354	297	530	0	0	0
1e+10	1e+10	1e+10	443	562	586	464	0	543	202	426	269	487	369	555	535	217	452	267	488	661	514	648	580	563	669	353	202	346	644	490	521	372	0	0	0
1e+10	1e+10	1e+10	545	328	394	522	623	0	204	414	270	567	593	416	403	588	622	286	328	233	590	693	505	444	380	216	439	635	371	377	534	435	0	0	0
1e+10	1e+10	1e+10	633	614	402	428	405	588	0	506	242	487	362	283	224	632	482	610	283	407	572	296	489	358	419	417	689	578	283	621	228	633	0	0	0
1e+10	1e+10	1e+10	614	501	659	269	347	511	565	0	660	412	586	264	494	297	478	494	315	339	335	294	353	442	398	250	546	532	346	390	214	602	0	0	0
1e+10	1e+10	1e+10	347	560	697	481	641	397	269	687	0	439	306	648	688	423	338	457	645	465	411	537	571	317	296	424	573	523	426	316	463	450	0	0	0
1e+10	1e+10	1e+10	693	367	484	401	350	499	502	573	269	0	555	241	578	359	472	254	307	599	242	555	541	594	484	306	556	474	390	223	349	547	0	0	0
1e+10	1e+10	1e+10	320	237	689	698	211	615	624	373	383	650	0	677	653	216	286	322	611	694	308	539	504	388	247	448	640	699	519	254	502	541	0	0	0
1e+10	1e+10	1e+10	215	447	315	602	685	437	404	326	386	441	337	0	648	604	558	475	526	336	541	394	416	244	545	563	648	353	474	670	421	290	0	0	0
1e+10	1e+10	1e+10	331	401	369	566	683	319	473	344	542	242	383	210	0	538	491	410	203	683	364	346	216	383	616	688	242	332	408	396	534	205	0	0	0
1e+10	1e+10	1e+10	285	296	597	407	327	266	594	360	464	308	268	537	582	0	330	649	288	547	422	370	587	482	656	521	576	476	576	443	417	397	0	0	0
1e+10	1e+10	1e+10	626	640	262	567	394	233	300	250	428	281	254	553	265	589	0	377	391	365	530	465	556	666	347	608	648	538	347	461	354	213	0	0	0
1e+10	1e+10	1e+10	353	395	316	338	257	281	396	380	572	238	693	306	427	422	394	0	524	440	477	262	634	625	522	583	209	399	370	320	314	265	0	0	0
1e+10	1e+10	1e+10	615	213	634	350	678	485	376	396	525	505	619	211	251	450	503	326	0	651	285	559	658	401	388	691	468	502	317	306	357	223	0	0	0
1e+10	1e+10	1e+10	440	607	575	201	423	289	323	255	493	591	650	590	501	637	573	557	260	0	605	569	425	530	618	315	544	436	368	541	589	446	0	0	0
1e+10	1e+10	1e+10	565	528	476	365	216	670	320	425	358	235	678	630	678	690	649	681	210	613	0	517	232	488	478	437	210	473	528	354	603	690	0	0	0
1e+10	1e+10	1e+10	560	440	617	364	612	610	545	218	523	490	567	317	648	692	287	402	237	259	445	0	519	463	567	237	487	365	506	296	397	583	0	0	0
1e+10	1e+10	1e+10	357	667	273	312	657	460	330	303	343	366	425	529	503	582	398	505	404	631	576	586	0	563	509	523	216	446	318	343	626	359	0	0	0
1e+10	1e+10	1e+10	551	550	477	357	252	650	477	280	358	347	502	310	551	638	663	255	570	366	699	635	492	0	306	250	458	650	474	563	626	496	0	0	0
1e+10	1e+10	1e+10	478	380	424	324	227	318	368	579	514	611	478	204	509	654	225	492	279	223	469	457	219	202	0	376	431	471	363	464	497	620	0	0	0
1e+10	1e+10	1e+10	579	490	553	341	392	313	617	268	532	468	430	502	449	451	248	288	691	597	321	684	338	214	551	0	490	494	533	658	414	270	0	0	0
1e+10	1e+10	1e+10	563	327	605	413	524	604	289	255	608	448	607	587	563	290	519	262	282	606	521	434	308	439	211	352	0	471	598	373	350	525	0	0	0
1e+10	1e+10	1e+10	319	530	270	481	428	233	225	637	266	582	674	606	355	377	272	377	384	396	595	514	454	261	678	597	295	0	396	384	586	494	0	0	0
1e+10	1e+10	1e+10	261	625	530	435	214	587	624	553	266	392	574	310	460	441	349	241	292	559	459	681	570	601	319	213	484	391	0	293	311	558	0	0	0
1e+10	1e+10	1e+10	281	434	518	247	672	445	460	517	232	257	557	491	347	295	216	407	455	568	570	598	476	327	475	431	539	694	343	0	367	380	0	0	0
1e+10	1e+10	1e+10	239	491	250	370	638	500	490	525	315	348	381	577	420	482	620	624	437	325	488	345	474	260	453	499	337	247	296	274	0	230	0	0	0
1e+10	1e+10	1e+10	670	550	668	387	656	696	640	538	409	665	651	460	362	494	637	630	312	334	423	605	206	456	682	239	699	628	283	529	506	0	0	0	0
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0	1e+10	1e+10
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0	1e+10
1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	1e+10	0
